Category/Idea,Concept Tag,Problem Name,Platform,URL,Key Pattern / Technique,Difficulty,Status,Notes
Complete/Balanced/Structure Trees,Complete tree; height compare,Count Complete Tree Nodes (LC 222),LeetCode,https://leetcode.com/problems/count-complete-tree-nodes/,Left/Right height equality => perfect subtree; O(log^2 n),Medium,Planned,Use 1<<h carefully; prefer 1LL<<h
Complete/Balanced/Structure Trees,Completeness check,Check Completeness of a Binary Tree (LC 958),LeetCode,https://leetcode.com/problems/check-completeness-of-a-binary-tree/,BFS with null-gap rule,Medium,Planned,"Once null seen, no non-null allowed"
Complete/Balanced/Structure Trees,Maintain completeness on insert,Complete Binary Tree Inserter (LC 919),LeetCode,https://leetcode.com/problems/complete-binary-tree-inserter/,Queue of candidates maintaining CBT invariant,Medium,Planned,Track first node with missing child
Complete/Balanced/Structure Trees,Balance check via height,Balanced Binary Tree (LC 110),LeetCode,https://leetcode.com/problems/balanced-binary-tree/,Postorder height + early fail,Easy,Planned,Return -1 to indicate unbalanced
Complete/Balanced/Structure Trees,Perfect tree connectors,Populating Next Right Pointers in Each Node (LC 116),LeetCode,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Perfect tree pointer walking,Medium,Planned,Use O(1) space via next links
Complete/Balanced/Structure Trees,BST validity (structure),Validate Binary Search Tree (LC 98),LeetCode,https://leetcode.com/problems/validate-binary-search-tree/,Inorder monotonicity or range constraints,Medium,Planned,Double-check integer bounds
Complete/Balanced/Structure Trees,BST structure query,Kth Smallest Element in a BST (LC 230),LeetCode,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Inorder count / augment sizes,Medium,Planned,Augment subtree sizes for O(log n)
Complete/Balanced/Structure Trees,Construct by traversals,Construct Binary Tree from Preorder and Inorder (LC 105),LeetCode,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Shape determined by traversal partitions,Medium,Planned,Index map for O(n)
Complete/Balanced/Structure Trees,Construct by traversals,Construct Binary Tree from Inorder and Postorder (LC 106),LeetCode,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Mirror of 105; partition logic,Medium,Planned,Careful with indices
Complete/Balanced/Structure Trees,Enumerate shapes (full),All Possible Full Binary Trees (LC 894),LeetCode,https://leetcode.com/problems/all-possible-full-binary-trees/,Shape enumeration via Catalan-like DP,Medium,Planned,Only odd node counts
Complete/Balanced/Structure Trees,Complete count article,Count nodes in a complete binary tree (GFG),GeeksforGeeks,https://www.geeksforgeeks.org/count-nodes-in-a-complete-binary-tree/,Left/right height trick; binary search last level,Medium,Planned,Multiple methods illustrated
Complete/Balanced/Structure Trees,Completeness article,Check whether a Binary Tree is Complete (GFG),GeeksforGeeks,https://www.geeksforgeeks.org/check-whether-binary-tree-complete-not/,Level order completeness criterion,Easy,Planned,Null-gap invariant
Complete/Balanced/Structure Trees,Implicit complete tree,ABC321 E — Complete Binary Tree,AtCoder,https://atcoder.jp/contests/abc321/tasks/abc321_e,Implicit indexing; distances on huge CBT,Hard,Planned,Bit navigation on indices
Complete/Balanced/Structure Trees,Structure counting,ABC222 H — Beautiful Binary Tree,AtCoder,https://atcoder.jp/contests/abc222/tasks/abc222_h,Combinatorics on tree shapes,Hard,Planned,DP + combinatorics
Complete/Balanced/Structure Trees,Tree DP (structure),AtCoder DP — P: Independent Set on Tree,AtCoder,https://atcoder.jp/contests/dp/tasks/dp_p,Tree DP; structure-based transitions,Medium,Planned,DFS + 2-state DP
Complete/Balanced/Structure Trees,Longest path on tree,AtCoder DP — Q: Longest Path,AtCoder,https://atcoder.jp/contests/dp/tasks/dp_q,DAG longest path on tree,Medium,Planned,Top-down or bottom-up DP
Complete/Balanced/Structure Trees,Structure property on tree,CF 763A — Timofey and a Tree,Codeforces,https://codeforces.com/problemset/problem/763/A,Check if a node can be root s.t. edges connect equal colors to its subtrees,Medium,Planned,Rooting + verify
Complete/Balanced/Structure Trees,Diameter / structure,SPOJ PT07Z — Longest path in a tree,SPOJ,https://www.spoj.com/problems/PT07Z/,Tree diameter via two BFS/DFS,Easy,Planned,2-pass diameter trick
Complete/Balanced/Structure Trees,Complete tree count (CN),Code360 — Count Complete Tree Nodes,Code 360,https://www.codingninjas.com/studio/problems/count-complete-tree-nodes_873330,Left/right height shortcut,Medium,Planned,Mirror of LC 222
Complete/Balanced/Structure Trees,Perfect tree connectors (II),Populating Next Right Pointers in Each Node II (LC 117),LeetCode,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,Level pointers without perfect-tree assumption,Medium,Planned,Use dummy head per level
